ID_PESQUISA;PESQUISA_NOME;ID_AGREGADO;AGREGADO_NOME;AGREG_ASSUNTO;AGREG_URL;ID_VARIAVEL;VARIAVEL_NOME;VAR_UNIDADE;ID_CLASSIFICACAO;CLASSIFICACAO_NOME;ID_CATEGORIA;CATEGORIA_NOME;ID_NIVEL_LOCALIDADE;NIVEL_LOCALIDADE_NOME;ID_LOCALIDADE;NOME_LOCALIDADE;PERIODO;VALOR
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93094;Total | Total | 55 a 59 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;5.85
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93095;Total | Total | 60 a 64 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;5.04
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93096;Total | Total | 65 a 69 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;3.98
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93097;Total | Total | 70 a 74 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;2.82
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 93098;Total | Total | 75 a 79 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;1.79
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 49108;Total | Total | 80 a 84 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;1.13
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 49109;Total | Total | 85 a 89 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;0.59
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 60040;Total | Total | 90 a 94 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;0.23
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 60041;Total | Total | 95 a 99 anos;N6;Município;3530607;Mogi das Cruzes (SP);2022;0.06
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;6794 | 95251 | 6653;Total | Total | 100 anos ou mais;N6;Município;3530607;Mogi das Cruzes (SP);2022;0.01
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;4 | 95251 | 100362;Homens | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;48.10
CD;Censo Demográfico;9606;População residente, por cor ou raça, segundo o sexo e a idade;Cor ou raça;https://sidra.ibge.gov.br/tabela/9606;1000093;População residente - percentual do total geral;Percentual;2 | 86 | 287;Sexo | Cor ou raça | Idade;5 | 95251 | 100362;Mulheres | Total | Total;N6;Município;3530607;Mogi das Cruzes (SP);2022;51.90
CL;Cadastro Central de Empresas;9509;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;Unidades locais;https://sidra.ibge.gov.br/tabela/9509;708;Pessoal ocupado assalariado;Pessoas;[None];[None];[None];[None];N6;Município;3530607;Mogi das Cruzes (SP);2022;110008
