ID_CLASSIFICACAO;CLASSIFICACAO_NOME
12680;Local do foco de calor
12681;Tipo de vacina
12682;Categorias de doenças
12683;Fontes de energia
12684;Usina nuclear
12685;Setores de aplicação dos investimentos nacionais em Pesquisa e Desenvolvimento - P&D
12686;Tipo de uso
12687;Armazéns e silos para produtos a granel
1269;Frequência a reuniões de grupo nos últimos 12 meses
127;Material da cobertura
1270;Atividade em grupo
1271;Frequência a reuniões com outras pessoas para prática de atividades esportivas, exercícios físicos, recreativos ou artísticos, nos últimos 12 meses
12716;Referência temporal
12719;Suplementação alimentar e rastreamento de animais
1272;Frequência a atividades coletivas de sua ou de outra religião, nos últimos 12 meses
12720;Movimento de equinos no ano
12721;Movimento de asininos no ano
12722;Grupos de cabeças de equinos
12723;Grupos de cabeças de asininos
12724;Grupos de cabeças de muares
12725;Movimento de muares no ano
12726;Grupos de cabeças de bubalinos
12727;Movimento de bubalinos no ano
12728;Grupos de cabeças de caprinos
12729;Movimento de caprinos no ano
12731;Movimento de coelhos no ano
12732;Grupos de cabeças de ovinos
12733;Movimento de ovinos no ano
12734;Movimento de ovos de galinhas no ano nos estabelecimentos com mais de 2.000 cabeças em 31/12
12735;Movimento da apicultura no ano
12736;Movimento da aquicultura no ano
12737;Grupos de área de espellho d'água
12738;Ambiente de criação
12739;Espécie criada na aquicultura
1274;Segmentos de serviços
12740;Movimento da ranicultura no ano
1276;Existência de infraestrutura para o funcionamento do conselho
12760;Nível de ensino, duração do ensino fundamental e série que frequentavam
12761;Duração do ensino fundamental e série que frequentavam
12762;Classificação Nacional de Atividades Econômicas (CNAE 2.0)
12763;Destino da produção consumida ou estocada
12764;Destino da produção vendida ou entregue a terceiros
12768;Tempo transcorrido entre as datas do casamento e da lavratura da escritura
12769;Tipo de produção animal integrada à indústria
1277;Existência de reuniões do conselho nos últimos 12 meses
12771;Classe de idade do produtor
12772;Nível de instrução do produtor
12773;Produtor com atividade econômica fora do estabelecimento agropecuário
12774;Forma de obtenção das terras
